danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.296,0.351,6,-9.538,1,0.0351,0.823,1.5e-06,0.11,0.19,177.596,212720,3
0.853,0.477,8,-6.697,1,0.0362,0.401,0,0.111,0.8,92.03,235747,4
0.757,0.192,0,-11.842,1,0.0515,0.572,0,0.606,0.595,94.024,181627,4
0.612,0.519,9,-5.568,1,0.0391,0.478,0,0.189,0.537,80.882,231341,4
0.363,0.233,10,-7.697,1,0.0299,0.908,0,0.134,0.246,171.767,204326,3
0.288,0.371,11,-8.001,1,0.0386,0.666,0,0.129,0.197,52.572,189500,4
0.614,0.647,0,-4.681,0,0.0524,0.0687,0,0.104,0.368,163.862,184665,4
0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,208687,4
0.55,0.415,9,-6.557,0,0.052,0.161,0,0.108,0.274,172.065,205463,4
0.404,0.531,1,-4.328,1,0.103,0.215,0,0.0521,0.321,164.848,214227,4
0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107,4
0.729,0.748,9,-7.06,1,0.046,0.286,0.000154,0.329,0.496,125.026,241750,4
0.558,0.458,4,-10.711,1,0.0485,0.7,2.11e-05,0.186,0.342,86.877,209783,4
0.508,0.29,10,-7.846,1,0.0298,0.901,0,0.105,0.287,135.114,236525,4
0.548,0.654,4,-4.599,1,0.0313,0.113,0,0.241,0.317,85.023,200824,4
0.359,0.543,7,-7.582,1,0.0915,0.492,1.57e-05,0.118,0.453,68.504,221307,4
0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
0.4,0.564,10,-7.444,1,0.0523,0.693,0,0.0863,0.483,99.269,211240,4
0.616,0.636,11,-3.846,1,0.0394,0.415,0,0.1,0.584,74.855,197013,4
0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
0.426,0.224,6,-8.683,1,0.0391,0.948,0,0.112,0.399,85.728,230480,5
0.66,0.449,7,-6.573,1,0.0442,0.209,0,0.111,0.237,133.984,180640,4
0.702,0.508,8,-7.105,1,0.035,0.144,0,0.108,0.143,82.008,252337,4
0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,207520,4
0.402,0.151,4,-14.227,0,0.0395,0.907,0,0.0941,0.483,144.293,238013,4
0.691,0.271,6,-7.583,1,0.0335,0.892,0,0.109,0.548,89.99,182587,4
0.735,0.175,6,-13.204,1,0.0383,0.845,0,0.101,0.604,142.861,221958,4
0.74,0.452,5,-8.828,1,0.0654,0.67,0,0.118,0.636,115.064,199067,4
0.669,0.396,0,-8.724,1,0.0545,0.267,0,0.0913,0.546,86.927,214747,4
0.458,0.13,11,-14.575,1,0.0807,0.906,0,0.152,0.333,162.487,218000,3
0.714,0.434,4,-11.542,1,0.0396,0.697,0,0.0919,0.352,123.942,259040,4
0.39,0.448,5,-8.57,0,0.0276,0.8,0.182,0.107,0.077,144.89,183103,5
0.606,0.54,7,-6.271,0,0.0339,0.182,0.000144,0.144,0.249,79.952,216853,4
0.515,0.378,5,-8.264,1,0.065,0.618,0,0.172,0.536,91.883,201000,4
0.572,0.317,0,-9.108,1,0.0241,0.705,0.00385,0.528,0.38,78.009,238733,4
0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,198040,3
0.63,0.53,0,-7.259,1,0.0434,0.4,0,0.177,0.417,108.038,225053,3
0.737,0.408,5,-7.941,1,0.104,0.802,0,0.171,0.374,127.921,190348,4
0.65,0.438,3,-10.358,0,0.027,0.236,1.65e-06,0.0979,0.393,122.009,240640,4
0.631,0.715,1,-6.083,0,0.0277,0.0299,0,0.121,0.42,135.826,176880,4
0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
0.553,0.614,1,-5.098,1,0.0306,0.764,0,0.0811,0.345,136.628,242679,4
0.355,0.126,11,-13.801,1,0.0301,0.909,0.000337,0.131,0.102,109.769,295358,4
0.82,0.301,0,-9.849,1,0.0438,0.543,0,0.0961,0.545,119.882,169183,4
0.422,0.745,8,-4.632,1,0.0378,0.221,0,0.0981,0.588,95.487,193447,4
0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
0.519,0.324,3,-14.665,1,0.0354,0.798,0.00158,0.104,0.3,79.837,224107,4
0.623,0.417,0,-8.699,1,0.0354,0.296,0,0.135,0.721,130.032,191360,4
0.649,0.548,1,-5.692,0,0.0318,0.733,0,0.136,0.506,150.036,169181,4
